cycle,name,location.x,location.y,my_zone,gender,socio,my_fit,outplay,my_crime,my_simd,my_simd_imp,num_friends,num_car,id_catch,my_neigh_prob,dis_school,x_cor,y_cor,school_walk_prob,avg_mvpa,avg_walk,daily_od,daily_od_mvpa,mvpa_home,mvpa_sc,mvpa_road,mvpa_play_field,mvpa_home_garden,mvpa_park,mvpa_PG,mvpa_amenity,mvpa_shops,mvpa_F_home,mvpa_fsa,per_days_sixt
11286,children83,7986.720897,3753.342356,zone(3),boy,3,0.545884936,0.861374746,-0.292668818,3,0.8,7,2,122,0.137819959,1715,261227,667326,0.4681668,53.56,47.2,29,4,6,20,16,0.52,0,1.68,0,2.52,0.2,2.76,2,0.36
11286,children84,8041.857316,3870.687814,zone(3),girl,4,0.714741573,0.891403336,-0.292668818,3,0.8,7,2,122,0.142624534,1870,261283,667201,0,41.04,21.04,29,4,7,19,6,2.32,0,0,0,1.8,0.4,2.64,0,0.12
11286,children85,8347.596275,3685.64148,zone(3),girl,2,1.223544815,0.918364469,-0.292668818,3,0.8,6,1,122,0.146938315,2116,261586,667384,0.978429393,77.2,78.92,27,5,12,22,28,0.36,0,2.52,0,3.08,0.8,2.24,4,0.76
11286,children86,8226.084656,3710.957107,zone(3),girl,2,1.089976077,0.924929269,-0.292668818,3,0.8,7,1,122,0.147988683,2006,261468,667357,0.437572281,55.8,38.32,23,5,11,22,14,0.24,0,2.4,0,2.56,0.44,2.84,0,0.36
11286,children87,8287.019164,3652.885492,zone(3),boy,3,0.907967145,0.900986065,-0.292668818,3,0.8,8,1,122,0.14415777,2062,261528,667417,0,60.64,19.36,10,2,12,24,6,0,0,2.92,0,0,0.32,0.84,13,0.56
11286,children88,8343.291826,3714.473468,zone(3),girl,1,0.3,0.709659367,-0.292668818,3,0.8,4,2,122,0.113545499,2164,261587,667358,0.22516469,36.28,35.44,16,1,2,17,11,0,0,1.04,0,0.28,0.16,1,2,0.04
11286,children89,8283.758976,3557.51571,zone(4),boy,1,1.04893261,0.705995219,0.031774567,1,0.6,4,0,79,0.084719426,1462,261520,667514,1,68.4,45.64,21,5,15,25,16,0,0,1.68,0,3.64,0.28,0.72,4,0.8
11286,children90,8291.204018,3472.411918,zone(4),boy,1,1.451717527,0.993644766,0.031774567,1,0.6,5,0,79,0.119237372,499,261537,667593,1,94.72,42.12,22,8,20,28,14,0,0,1.6,0,6.84,0.44,0.64,20,0.96
11286,children91,8327.727313,3540.149154,zone(4),girl,3,0.714093179,0.919546713,0.031774567,1,0.6,6,0,79,0.110345606,648,261565,667535,1,48.04,36.96,29,3,7,18,12,0.2,0,1,0,2.04,0,1.04,4,0.08
11286,children92,8174.725522,3451.373491,zone(4),boy,3,0.591001056,0.889400369,0.031774567,1,0.6,6,0,79,0.106728044,695,261416,667621,1,48.68,33.72,18,3,7,21,11,0.92,0,1.56,0,1.28,0.44,2.84,0,0.16
11286,children93,8345.87111,3506.32141,zone(4),girl,2,1.024006145,0.994882886,0.031774567,1,0.6,7,1,79,0.119385946,1784,261587,667563,0,49.96,11.08,22,5,12,21,4,1.56,0,3.52,0,0.68,0.48,2.04,3,0.2
11286,children94,8202.105499,3610.977885,zone(4),girl,1,1.013056913,1.009066787,0.031774567,1,0.6,5,1,79,0.121088014,1462,261446,667455,0,49.36,10.88,12,2,10,22,4,0,0,1.04,0,1.48,0,2.56,7,0.24
11286,children95,8370.514629,3451.830212,zone(4),girl,3,1.067053741,1.004646585,0.031774567,1,0.6,6,0,79,0.12055759,679,261620,667619,1,71.28,56.12,17,3,11,21,20,0,0,1.6,0,1.76,0.28,0.6,14,0.84
11286,children96,8216.472463,3420.427199,zone(4),girl,1,0.758922436,1.09320327,0.031774567,1,0.6,6,0,79,0.131184392,639,261465,667648,1,58.92,48.04,35,6,7,20,16,1.08,0,3.8,0,1.72,0.12,1.44,6,0.52
11286,children97,8175.408912,3569.793331,zone(4),boy,1,0.3,0.916794976,0.031774567,1,0.6,5,0,79,0.110015397,1489,261412,667498,1,45.92,49.8,34,3,3,19,17,1.12,0,0.96,0,1.8,0.2,1.72,0,0.2
11286,children98,8358.194263,3584.780143,zone(4),girl,3,1.056736864,1.043848192,0.031774567,1,0.6,5,0,79,0.125261783,2599,261594,667485,1,77.36,90.6,16,2,10,22,31,0,0,0.48,0,2.04,0.44,2.2,7,0.88
11286,children99,8337.550202,3620.199891,zone(4),girl,1,0.820514346,0.989123189,0.031774567,1,0.6,8,2,79,0.118694783,1462,261576,667452,0,45,11.24,14,2,8,20,3,0,0,0.68,0,1.44,0,1.2,8,0.12
11286,children100,8127.280307,3435.052581,zone(4),girl,1,0.501241406,1.176686157,0.031774567,1,0.6,10,0,79,0.141202339,639,261370,667630,1,43.24,36.16,31,2,5,18,13,1.12,0,0.32,0,1.4,0.16,3.36,0,0.04
11286,children101,8378.434059,3604.128065,zone(4),boy,1,0.947319465,1.103301855,0.031774567,1,0.6,4,0,79,0.132396223,933,261618,667468,1,71.04,44.88,29,8,12,24,14,1.6,0,3.4,0,3.92,0.24,1.28,9,0.72
11286,children102,8502.114973,3403.872331,zone(4),girl,3,1.017158079,0.78114014,0.031774567,1,0.6,6,0,79,0.093736817,840,261750,667670,1,63.24,47.2,22,5,9,21,16,1.92,0,1.44,0,1.88,0.76,2.44,7,0.6
11286,children103,8471.268943,3409.62425,zone(4),girl,1,1.185245159,1.039136466,0.031774567,1,0.6,6,0,79,0.124696376,677,261705,667661,1,56.64,31.84,29,6,12,22,11,0.36,0,3.24,0,2.6,0.44,2.56,0,0.28
11286,children104,8380.390509,3452.774263,zone(4),boy,1,0.747649823,1.254687131,0.031774567,1,0.6,8,1,79,0.150562456,679,261620,667619,0.73612177,53.4,20.48,39,9,10,23,6,3.4,0,1.68,0,4.28,0.68,3.52,0,0.4
