DataZone,Freq.,Percent,Cum.
S01012049,1,0.13,75.06
S01012050,2,0.26,75.32
S01012056,1,0.13,75.45
S01012061,1,0.13,75.58
S01012073,1,0.13,75.71
S01012074,1,0.13,75.84
S01012075,1,0.13,75.97
S01012076,1,0.13,76.1
S01012089,1,0.13,76.23
S01012090,1,0.13,76.36
S01012113,1,0.13,76.49
S01012146,1,0.13,76.61
S01012157,1,0.13,76.74
S01012183,1,0.13,76.87
S01012215,1,0.13,77
S01012217,1,0.13,77.13
S01012219,1,0.13,77.26
S01012221,1,0.13,77.39
S01012223,1,0.13,77.52
S01012229,2,0.26,77.78
S01012230,1,0.13,77.91
S01012231,1,0.13,78.04
S01012232,3,0.39,78.42
S01012233,1,0.13,78.55
S01012235,3,0.39,78.94
S01012236,2,0.26,79.2
S01012256,1,0.13,79.33
S01012258,1,0.13,79.46
S01012262,1,0.13,79.59
S01012263,1,0.13,79.72
S01012265,1,0.13,79.84
S01012266,4,0.52,80.36
S01012267,2,0.26,80.62
S01012271,2,0.26,80.88
S01012272,1,0.13,81.01
S01012276,1,0.13,81.14
S01012291,1,0.13,81.27
S01012292,1,0.13,81.4
S01012297,1,0.13,81.52
S01012298,1,0.13,81.65
S01012321,1,0.13,81.78
S01012329,1,0.13,81.91
S01012341,1,0.13,82.04
S01012342,1,0.13,82.17
S01012389,1,0.13,82.3
S01012391,1,0.13,82.43
S01012392,4,0.52,82.95
S01012393,2,0.26,83.2
S01012394,1,0.13,83.33
S01012401,1,0.13,83.46
S01012442,1,0.13,83.59
S01012509,1,0.13,83.72
S01012523,2,0.26,83.98
S01012538,1,0.13,84.11
S01012539,1,0.13,84.24
S01012544,2,0.26,84.5
S01012554,1,0.13,84.63
S01012567,1,0.13,84.75
S01012575,1,0.13,84.88
S01012580,1,0.13,85.01
S01012587,1,0.13,85.14
S01012588,1,0.13,85.27
S01012589,1,0.13,85.4
S01012591,1,0.13,85.53
S01012643,1,0.13,85.66
S01012659,1,0.13,85.79
S01012663,2,0.26,86.05
S01012676,1,0.13,86.18
S01012685,1,0.13,86.3
S01012694,1,0.13,86.43
S01012697,1,0.13,86.56
S01012712,1,0.13,86.69
S01012724,1,0.13,86.82
S01012726,2,0.26,87.08
S01012733,1,0.13,87.21
S01012737,1,0.13,87.34
S01012741,1,0.13,87.47
S01012790,1,0.13,87.6
S01012791,1,0.13,87.73
S01012799,1,0.13,87.86
S01012800,2,0.26,88.11
S01012806,1,0.13,88.24
S01012808,1,0.13,88.37
S01012809,1,0.13,88.5
S01012810,1,0.13,88.63
S01012813,2,0.26,88.89
S01012819,1,0.13,89.02
S01012830,1,0.13,89.15
S01012880,1,0.13,89.28
S01012894,1,0.13,89.41
S01012904,1,0.13,89.53
S01012910,1,0.13,89.66
S01012941,1,0.13,89.79
S01012942,1,0.13,89.92
S01012946,1,0.13,90.05
S01012963,1,0.13,90.18
S01012975,1,0.13,90.31
S01012976,1,0.13,90.44
S01012984,1,0.13,90.57
S01013006,2,0.26,90.83
S01013015,2,0.26,91.09
S01013023,1,0.13,91.21
S01013027,1,0.13,91.34
S01013047,1,0.13,91.47
S01013048,1,0.13,91.6
S01013061,1,0.13,91.73
S01013081,1,0.13,91.86
S01013098,1,0.13,91.99
S01013106,2,0.26,92.25
S01013107,2,0.26,92.51
S01013108,1,0.13,92.64
S01013112,1,0.13,92.76
S01013120,1,0.13,92.89
S01013151,1,0.13,93.02
S01013153,1,0.13,93.15
S01013158,1,0.13,93.28
S01013160,3,0.39,93.67
S01013164,1,0.13,93.8
S01013179,1,0.13,93.93
S01013186,2,0.26,94.19
S01013189,1,0.13,94.32
S01013190,1,0.13,94.44
S01013226,1,0.13,94.57
S01013254,1,0.13,94.7
S01013263,1,0.13,94.83
S01013274,1,0.13,94.96
S01013276,1,0.13,95.09
S01013282,1,0.13,95.22
S01013285,1,0.13,95.35
S01013287,1,0.13,95.48
S01013288,1,0.13,95.61
S01013290,6,0.78,96.38
S01013291,1,0.13,96.51
S01013293,1,0.13,96.64
S01013304,1,0.13,96.77
